training.days,subject,item,testing.stimuli,response
day1,sub14,13,untrained,1
day1,sub14,25,trained,0
day1,sub14,35,untrained,0
day1,sub14,12,untrained,1
day1,sub14,20,trained,1
day1,sub14,8,untrained,1
day1,sub14,19,trained,1
day1,sub14,47,untrained,0
day1,sub14,24,untrained,1
day1,sub14,34,untrained,0
day1,sub14,28,trained,1
day1,sub14,38,untrained,0
day1,sub14,40,untrained,0
day1,sub14,7,untrained,1
day1,sub14,46,untrained,0
day1,sub14,45,untrained,0
day1,sub14,27,untrained,0
day1,sub14,42,untrained,0
day1,sub14,33,untrained,0
day1,sub14,37,untrained,0
day1,sub14,5,trained,1
day1,sub14,26,trained,0
day1,sub14,23,untrained,1
day1,sub14,44,untrained,1
day1,sub14,14,untrained,1
day1,sub14,9,trained,0
day1,sub14,31,trained,1
day1,sub14,4,untrained,0
day1,sub14,41,untrained,0
day1,sub14,10,trained,0
day1,sub14,3,trained,1
day1,sub14,32,trained,1
day1,sub14,15,trained,1
day1,sub14,30,untrained,1
day1,sub14,21,trained,0
day1,sub14,11,untrained,1
day1,sub14,2,trained,1
day1,sub14,29,untrained,1
day1,sub14,17,untrained,1
day1,sub14,16,trained,1
day1,sub14,43,untrained,0
day1,sub14,1,untrained,1
day1,sub2,42,untrained,0
day1,sub2,22,trained,
day1,sub2,25,untrained,1
day1,sub2,24,trained,1
day1,sub2,28,untrained,1
day1,sub2,37,untrained,0
day1,sub2,26,untrained,1
day1,sub2,27,trained,1
day1,sub2,48,untrained,0
day1,sub2,35,untrained,0
day1,sub2,3,untrained,1
day1,sub2,30,trained,1
day1,sub2,32,untrained,1
day1,sub2,41,untrained,0
day1,sub2,7,trained,1
day1,sub2,8,trained,1
day1,sub2,5,untrained,1
day1,sub2,45,untrained,0
day1,sub2,38,untrained,0
day1,sub2,10,untrained,1
day1,sub2,9,untrained,1
day1,sub2,12,trained,1
day1,sub2,40,untrained,0
day1,sub2,4,trained,1
day1,sub2,2,untrained,1
day1,sub2,18,trained,1
day1,sub2,16,untrained,1
day1,sub2,31,untrained,1
day1,sub2,46,untrained,0
day1,sub2,14,trained,1
day1,sub2,20,untrained,1
day1,sub2,34,untrained,0
day1,sub2,23,trained,1
day1,sub2,43,untrained,1
day1,sub2,6,untrained,1
day1,sub2,29,trained,1
day1,sub2,19,untrained,1
day1,sub2,11,trained,1
day1,sub2,39,untrained,0
day1,sub2,17,trained,1
day1,sub2,36,untrained,0
day1,sub2,13,trained,1
day1,sub2,21,untrained,1
day1,sub2,15,untrained,1
day1,sub2,1,trained,1
day1,sub2,47,untrained,
day1,sub2,33,untrained,0
day1,sub2,44,untrained,0
day1,sub2,17,trained,1
day1,sub2,33,untrained,0
day1,sub2,16,untrained,1
day1,sub2,26,untrained,1
day1,sub2,29,trained,1
day1,sub2,23,trained,1
day1,sub2,30,trained,1
day1,sub2,35,untrained,0
day1,sub2,13,trained,1
day1,sub2,38,untrained,0
day1,sub2,32,untrained,1
day1,sub2,36,untrained,0
day1,sub2,46,untrained,0
day1,sub2,31,untrained,1
day1,sub2,18,trained,1
day1,sub2,24,trained,1
day1,sub2,28,untrained,1
day1,sub2,37,untrained,1
day1,sub2,2,untrained,1
day1,sub2,45,untrained,0
day1,sub2,42,untrained,0
day1,sub2,21,untrained,1
day1,sub2,44,untrained,0
day1,sub2,9,untrained,1
day1,sub2,34,untrained,0
day1,sub2,25,untrained,1
day1,sub2,27,trained,1
day1,sub2,12,trained,1
day1,sub2,15,untrained,1
day1,sub2,7,trained,1
day1,sub2,48,untrained,0
day1,sub2,20,untrained,1
day1,sub2,6,untrained,0
day1,sub2,14,trained,1
day1,sub2,47,untrained,1
day1,sub2,41,untrained,0
day1,sub2,22,trained,0
day1,sub2,5,untrained,1
day1,sub2,10,untrained,1
day1,sub2,19,untrained,1
day1,sub2,3,untrained,1
day1,sub2,8,trained,1
day1,sub2,11,trained,1
day1,sub2,1,trained,1
day1,sub2,39,untrained,0
day1,sub2,43,untrained,1
day1,sub2,4,trained,1
day1,sub2,40,untrained,0
day1,sub3,27,untrained,1
day1,sub3,11,untrained,1
day1,sub3,33,untrained,0
day1,sub3,41,untrained,0
day1,sub3,8,untrained,1
day1,sub3,4,untrained,1
day1,sub3,1,untrained,1
day1,sub3,34,untrained,0
day1,sub3,2,trained,1
day1,sub3,12,untrained,1
day1,sub3,42,untrained,0
day1,sub3,17,untrained,1
day1,sub3,31,trained,1
day1,sub3,46,untrained,0
day1,sub3,25,trained,1
day1,sub3,39,untrained,1
day1,sub3,32,trained,1
day1,sub3,10,trained,1
day1,sub3,26,trained,1
day1,sub3,14,untrained,1
day1,sub3,6,trained,1
day1,sub3,45,untrained,0
day1,sub3,19,trained,1
day1,sub3,22,untrained,1
day1,sub3,3,trained,1
day1,sub3,37,untrained,0
day1,sub3,36,untrained,0
day1,sub3,13,untrained,1
day1,sub3,44,untrained,0
day1,sub3,23,untrained,1
day1,sub3,28,trained,1
day1,sub3,7,untrained,1
day1,sub3,40,untrained,0
day1,sub3,5,trained,1
day1,sub3,29,untrained,1
day1,sub3,43,untrained,0
day1,sub3,30,untrained,1
day1,sub3,24,untrained,1
day1,sub3,9,trained,1
day1,sub3,48,untrained,0
day1,sub3,38,untrained,0
day1,sub3,20,trained,1
day1,sub3,16,trained,1
day1,sub3,18,untrained,0
day1,sub3,35,untrained,0
day1,sub3,21,trained,1
day1,sub3,47,untrained,0
day1,sub3,15,trained,1
day1,sub3,4,untrained,1
day1,sub3,34,untrained,0
day1,sub3,45,untrained,0
day1,sub3,26,trained,1
day1,sub3,15,trained,0
day1,sub3,10,trained,1
day1,sub3,23,untrained,1
day1,sub3,38,untrained,0
day1,sub3,2,trained,1
day1,sub3,39,untrained,0
day1,sub3,25,trained,1
day1,sub3,44,untrained,0
day1,sub3,40,untrained,0
day1,sub3,12,untrained,1
day1,sub3,17,untrained,1
day1,sub3,16,trained,1
day1,sub3,11,untrained,1
day1,sub3,29,untrained,1
day1,sub3,3,trained,1
day1,sub3,42,untrained,0
day1,sub3,6,trained,1
day1,sub3,27,untrained,1
day1,sub3,32,trained,1
day1,sub3,35,untrained,0
day1,sub3,19,trained,1
day1,sub3,22,untrained,1
day1,sub3,7,untrained,1
day1,sub3,9,trained,0
day1,sub3,33,untrained,0
day1,sub3,46,untrained,0
day1,sub3,36,untrained,0
day1,sub3,1,untrained,1
day1,sub3,5,trained,1
day1,sub3,20,trained,1
day1,sub3,43,untrained,0
day1,sub3,48,untrained,0
day1,sub3,37,untrained,0
day1,sub3,47,untrained,0
day1,sub3,13,untrained,0
day1,sub3,21,trained,1
day1,sub3,28,trained,1
